Time (s),Delta_n (m)
0.0,0.0
0.0001,6.3245548986997475e-06
0.0002,1.2649107267577618e-05
0.00030000000000000003,1.8973654576812752e-05
0.0004,2.5298194296586308e-05
0.0005,3.162272389708248e-05
0.0006000000000000001,3.7947240848489516e-05
0.0007,4.427174262100073e-05
0.0008,5.059622668481547e-05
0.0009000000000000001,5.6920690510140214e-05
0.001,6.324513156718951e-05
0.0011,6.956954732618703e-05
0.0012000000000000001,7.589393525736655e-05
0.0013000000000000002,8.221829283097298e-05
0.0014,8.854261751726336e-05
0.0015,9.486690678650792e-05
0.0016,0.00010119115810899103
0.0017000000000000001,0.00010751536895501224
0.0018000000000000002,0.00011383953679488731
0.0019,0.00012016365909894917
0.002,0.000126487733337549
0.0021000000000000003,0.0001328117569810572
0.0022,0.00013913572749986436
0.0023,0.00014545964236438235
0.0024000000000000002,0.0001517834990450454
0.0025,0.0001581072950123108
0.0026000000000000003,0.00016443102773666037
0.0027,0.00017075469468860093
0.0028,0.00017707829333866597
0.0029000000000000002,0.00018340182115741602
0.003,0.00018972527561544002
0.0031000000000000003,0.00019604865418335632
0.0032,0.0002023719543318136
0.0033,0.00020869517353149178
0.0034000000000000002,0.00021501830925310336
0.0035,0.00022134135896739415
0.0036000000000000003,0.00022766432014514423
0.0037,0.00023398719025716932
0.0038,0.00024030996677432145
0.0039000000000000003,0.00024663264716749005
0.004,0.000252955228907603
0.0041,0.0002592777094656279
0.004200000000000001,0.00026560008631257244
0.0043,0.0002719223569194859
0.0044,0.0002782445187574603
0.0045000000000000005,0.0002845665692976309
0.0046,0.0002908885060111775
0.0047,0.00029721032636932567
0.0048000000000000004,0.0003035320278433473
0.0049,0.00030985360790456167
0.005,0.00031617506402433713
0.0051,0.00032249639367409123
0.005200000000000001,0.0003288175943252921
0.0053,0.00033513866344945956
0.0054,0.0003414595985181662
0.0055000000000000005,0.000347780397003038
0.0056,0.0003541010563757555
0.0057,0.0003604215741080553
0.0058000000000000005,0.0003667419476717303
0.0059,0.00037306217453863096
0.006,0.0003793822521806669
0.0061,0.00038570217806980703
0.006200000000000001,0.00039202194967808096
0.0063,0.0003983415644775804
0.0064,0.0004046610199404592
0.006500000000000001,0.00041098031353893545
0.0066,0.0004172994427452919
0.0067,0.0004236184050318767
0.0068000000000000005,0.00042993719787110516
0.006900000000000001,0.00043625581873546016
0.007,0.0004425742650974936
0.0071,0.0004488925344298268
0.007200000000000001,0.0004552106242051523
0.0073,0.0004615285318962341
0.0074,0.0004678462549759093
0.007500000000000001,0.0004741637909170888
0.0076,0.00048048113719275824
0.0077,0.0004867982912759791
0.0078000000000000005,0.0004931152506398902
0.0079,0.0004994320127577074
0.008,0.0005057485751027262
0.0081,0.0005120649351483217
0.0082,0.00051838109036795
0.0083,0.0005246970382351491
0.008400000000000001,0.00053101277622354
0.0085,0.0005373283018068271
0.0086,0.0005436436124588009
0.008700000000000001,0.0005499587056533371
0.0088,0.0005562735788643982
0.0089,0.0005625882295660351
0.009000000000000001,0.0005689026552323878
0.0091,0.0005752168533376859
0.0092,0.0005815308213562504
0.009300000000000001,0.0005878445567624942
0.0094,0.0005941580570309231
0.0095,0.0006004713196361369
0.009600000000000001,0.0006067843420528311
0.0097,0.0006130971217557965
0.0098,0.0006194096562199212
0.0099,0.000625721942920192
0.01,0.0006320339793316937
0.010100000000000001,0.0006383457629296123
0.0102,0.0006446572911892342
0.0103,0.000650968561585948
0.010400000000000001,0.000657279571595246
0.0105,0.0006635903186927242
0.0106,0.0006699008003540835
0.010700000000000001,0.000676211014055132
0.0108,0.0006825209572717836
0.0109,0.0006888306274800614
0.011000000000000001,0.0006951400221560975
0.0111,0.0007014491387761339
0.0112,0.0007077579748165241
0.011300000000000001,0.000714066527753734
0.0114,0.0007203747950643424
0.0115,0.000726682774225042
0.011600000000000001,0.0007329904627126418
0.0117,0.0007392978580040664
0.0118,0.0007456049575763575
0.0119,0.0007519117589066756
0.012,0.0007582182594723002
0.012100000000000001,0.0007645244567506308
0.0122,0.0007708303482191893
0.0123,0.0007771359313556187
0.012400000000000001,0.0007834412036376858
0.0125,0.0007897461625432819
0.0126,0.0007960508055504235
0.012700000000000001,0.0008023551301372536
0.0128,0.0008086591337820423
0.0129,0.0008149628139631883
0.013000000000000001,0.0008212661681592194
0.0131,0.0008275691938487944
0.0132,0.0008338718885107029
0.013300000000000001,0.0008401742496238669
0.0134,0.0008464762746673426
0.0135,0.0008527779611203193
0.013600000000000001,0.0008590793064621232
0.0137,0.000865380308172216
0.013800000000000002,0.0008716809637301969
0.013900000000000001,0.0008779812706158039
0.014,0.0008842812263089145
0.014100000000000001,0.0008905808282895464
0.0142,0.0008968800740378587
0.0143,0.0009031789610341535
0.014400000000000001,0.0009094774867588758
0.0145,0.0009157756486926155
0.0146,0.0009220734443161081
0.014700000000000001,0.0009283708711102352
0.0148,0.000934667926556026
0.0149,0.0009409646081346591
0.015000000000000001,0.0009472609133274612
0.0151,0.0009535568396159106
0.0152,0.000959852384481637
0.015300000000000001,0.0009661475454064223
0.0154,0.0009724423198722022
0.0155,0.0009787367053610673
0.015600000000000001,0.0009850306993552634
0.015700000000000002,0.0009913242993371929
0.0158,0.0009976175027894157
0.0159,0.0010039103071946506
0.016,0.001010202710035776
0.0161,0.001016494708795831
0.0162,0.001022786300958016
0.016300000000000002,0.0010290774840056945
0.0164,0.001035368255422393
0.0165,0.0010416586126918027
0.0166,0.0010479485532977817
0.0167,0.001054238074724353
0.016800000000000002,0.001060527174455709
0.016900000000000002,0.0010668158499762088
0.017,0.001073104098770383
0.0171,0.001079391918322932
0.0172,0.0010856793061187282
0.0173,0.0010919662596428163
0.017400000000000002,0.0010982527763804153
0.0175,0.0011045388538169182
0.0176,0.0011108244894378943
0.0177,0.0011171096807290894
0.0178,0.0011233944251764273
0.0179,0.00112967872026601
0.018000000000000002,0.0011359625634841195
0.0181,0.001142245952317219
0.0182,0.0011485288842519527
0.0183,0.001154811356775148
0.0184,0.0011610933673738158
0.018500000000000003,0.0011673749135351526
0.018600000000000002,0.0011736559927465393
0.0187,0.0011799366024955445
0.0188,0.0011862167402699243
0.0189,0.001192496403557624
0.019,0.001198775589846778
0.019100000000000002,0.0012050542966257124
0.019200000000000002,0.001211332521382944
0.0193,0.0012176102616071832
0.0194,0.001223887514787334
0.0195,0.001230164278412495
0.0196,0.0012364405499719613
0.019700000000000002,0.0012427163269552242
0.0198,0.0012489916068519728
0.0199,0.0012552663871520952
0.02,0.0012615406653456796
0.0201,0.0012678144389230146
0.020200000000000003,0.0012740877053745911
0.020300000000000002,0.0012803604621911021
0.0204,0.0012866327068634456
0.0205,0.0012929044368827235
0.0206,0.0012991756497402434
0.0207,0.001305446342927521
0.020800000000000003,0.001311716513936279
0.020900000000000002,0.0013179861602584488
0.021,0.0013242552793861723
0.0211,0.0013305238688118015
0.0212,0.0013367919260279008
0.0213,0.0013430594485272476
0.021400000000000002,0.0013493264338028334
0.021500000000000002,0.0013555928793478628
0.0216,0.001361858782655759
0.0217,0.0013681241412201604
0.0218,0.0013743889525349232
0.0219,0.0013806532140941232
0.022000000000000002,0.0013869169233920568
0.0221,0.001393180077923239
0.0222,0.0013994426751824086
0.0223,0.0014057047126645264
0.0224,0.0014119661878647782
0.022500000000000003,0.0014182270982785739
0.022600000000000002,0.0014244874414015493
0.0227,0.0014307472147295668
0.0228,0.0014370064157587176
0.0229,0.001443265041985321
0.023,0.001449523090905927
0.023100000000000002,0.0014557805600173162
0.023200000000000002,0.0014620374468165007
0.0233,0.001468293748800726
0.0234,0.0014745494634674711
0.0235,0.0014808045883144508
0.0236,0.0014870591208396148
